SampleID,DIL1,DIL2,DIL3,DIL4,DIL5,OA1,OA2,OA3,OA4,OA5
_-_-Jolkinol A,3421700.898,24220.18041,149988.391,0,0,3577057.549,20638.11572,150272.5924,0,0
_-_-N6-_2-Phenylisopropyl_adenosine,0,0,0,0,0,0,197.2054262,0,0,0
_-Myristinin A,6490.068895,0,0,0,0,10073.67072,0,0,0,0
_2-_2-Oxo-2-_3-_trifluoromethyl_phenyl_amino_ethoxy_phenyl_phosphonic acid,0,146.297522,0,0,0,332.9412263,0,0,160.1638361,0
"_23S_-23,25-dihdroxy-24-oxovitamine D3 23-_beta-glucuronide_",0,0,0,0,0,0,0,0,0,0
"_3.beta.,8.xi.,9.xi.,14.xi.,17Z_-3-_2-O-_6-Deoxy-.alpha.-L-mannopyranosyl_-.beta.-D-glucopyranosyl_oxy_-16,22-dioxocholesta-5,17-dien-27-yl .beta.-D-glucopyranoside",0,0,0,0,0,225.4514546,0,0,0,0
"_9.Xi.,17.alpha.,22S_-14,17,20-Trihydroxy-1,26-dioxo-22,26-epoxyergosta-5,24-dien-3-yl 4-O-.beta.-D-glucopyranosyl-.beta.-D-glucopyranoside",0,0,0,0,0,0,0,0,0,0
"1-_1-2R-Phosphothiotidyl_inositol-3,4-bisphosphate",0,0,0,0,4943.059657,0,0,149.6856087,2400.866508,0
"1-O-_3.beta.,5.Xi.,9.Xi.,18.Xi._-3-_Hexopyranosyl-_1-_3_hexopyranosyl-_1-_4_-6-deoxyhexopyranosyl_oxy_-28-oxoolean-12-en-28-yl_-4-O-pentopyranosylhexopyranose",8209.445779,267.5955234,0,0,0,1608.75789,1731.642791,0,0,0
"1-Piperazinecarboxylic acid, 4-_3-phenoxyphenyl_methyl_-, 2,2,2-trifluoro-1-_trifluoromethyl_ethyl ester",0,0,0,0,7747.742796,0,0,0,8662.247962,0
"1,3,11,16,20,26-Hexahydroxy-22-oxo-23,25-cyclocholest-5-en-27-yl hexopyranoside",0,0,0,0,0,835.4832442,0,0,0,0
11-Hydroxyprogesterone 11-glucuronide,1325.404245,96.90972491,0,0,0,1737.613898,0,158.4307011,0,0
"15-Deoxy-.DELTA.12,14-prostaglandin J2 biotinamide",236.7537507,0,0,0,0,0,0,0,0,0
"16,23-epoxy-5beta-cholestane triglycoside",643.8444932,0,0,0,0,1375.929932,0,0,0,0
"2-_3-Bromophenyl_-3-_5-chloro-2-hydroxyphenyl_-1,3-thiazolan-4-one",21865.85528,94187.66407,102161.9589,22432.90802,60515.22821,24657.58314,100605.5487,137902.4282,41125.36498,16528.24241
2-_5-_2-_2-_5-_2-_2-_5-_2-_2-_5-_2-Hydroxybutyl_tetrahydrofuran-2-yl_propanoyl_oxy_propyl_tetrahydrofuran-2-yl_propanoyl_oxy_propyl_tetrahydrofuran-2-yl_propanoyl_oxy_propyl_tetrahydrofuran-2-yl_propanoic acid,0,0,0,0,0,0,0,0,0,0
2-_Benzoylamino_-5-iodobenzoic acid,81466.16707,233308.5844,235942.3218,15863.72594,161840.1553,78247.39715,221703.3979,237008.3931,118798.6482,11589.41647
2-_Benzoylamino_-5-iodobenzoic acid,0,30086.48288,2349.06836,0,2171.751346,0,9814.698146,8018.970419,0,0
2-_Benzoylamino_-5-iodobenzoic acid,0,0,0,0,171.9367621,0,0,0,0,0
2-docosyl-3-hydroxy-38-carboxy-tetratriacontanoic acid,0,0,483.8531901,0,0,0,0,168.5297048,0,0
2-docosyl-3-hydroxy-38-carboxy-tetratriacontanoic acid,0,368.0988664,0,0,0,0,192.5334546,0,0,0
20-hydroxyecdysone 22-phosphate,463.6160986,0,0,0,0,248.1488487,0,0,0,0
"26,26,26-trifluoro-25-hydroxy-27-norvitamin D3",0,0,322.8810222,0,0,6271.782022,0,0,0,0
27-O-demethylrifabutin,946.8725115,0,0,0,0,0,0,0,0,0
27-O-demethylrifabutin,321.0003458,0,0,0,0,0,0,0,0,0
3-O-_2-O-_2E-decenoyl_-alpha-L-rhamnopyranosyl-_1-2_-alpha-L-rhamnopyranosyl_-3-hydroxydecanoic acid,0,129.4792585,131.797621,0,0,0,271.1580871,0,0,0
"3,3_,5,5_-Tetrahydroxy-6,7-methyleneoxy-4_-methoxyflavone 3-glucuronide",0,59.17300134,0,0,0,0,0,0,0,0
"3,3_,5,5_-Tetrahydroxy-6,7-methyleneoxy-4_-methoxyflavone 3-glucuronide",0,46.85863209,0,0,0,0,0,0,0,0
"3,4_,5,6-Tetrahydroxy-3_,7-dimethoxyflavone 3-glucuronide",0,0,0,0,0,0,0,0,0,133.5190469
"3,4-Difluoro-2-_2-fluoro-4-iodoanilino_benzoic acid",0,0,0,0,0,0,0,0,0,0
31-Hydroxy rifabutin,0,0,0,108.3083789,0,0,0,101.9948205,0,0
"4-_4-Cyano-2-fluorophenyl_-2-morpholino-5-_1H-1,2,4-triazol-5-yl_thiophene-3-carbonitrile",0,0,85.57908799,0,0,0,0,0,0,0
"4-_5-Amino-1-_2,6-difluorobenzoyl_-1,2,4-triazol-3-yl_amino_benzenesulfonamide",0,0,0,477.3215088,0,122.6440044,0,281.1935881,0,232.1158281
"4,5-Dihydro-drospirenone-3-sulfate",90.85400823,0,0,0,0,189.3455746,0,0,0,0
"4H-_1,2,4_Triazolo_4,3-a_1,4_benzodiazepine-4-acetamide, 6-_4-chlorophenyl_-N-ethyl-8-methoxy-1-methyl-, _4S_-",0,0,0,0,0,0,0,0,0,106.8676328
"5-_3_,5_-Dihydroxyphenyl_-gamma-valerolactone 3-O-glucuronide",0,0,0,0,0,0,0,0,0,0
"5-Bromo-2-_2,4-dichlorophenoxy_acetyl_amino_benzoic acid",0,446.5240606,741.8933105,0,0,0,1303.819752,926.4313687,0,0
6_-Hydroxysiphonaxanthin ester_ 6_-Hydroxysiphonaxanthin dodecenoate_ 6_-Hydroxysiphonaxanthin 19-_trans-delta2-dodecenoate_,232.5596135,75.61592337,0,0,0,436.224905,0,0,0,0
6-Dehydrotestosterone glucuronide,807.9460039,241.1232206,0,0,0,0,164.472811,89.60043139,0,0
6-Methoxykaempferol 3-rhamnoside-7-_4_-acetylrhamnoside_,1217.711733,0,0,0,0,565.3139647,0,0,0,0
"6-Methoxyluteolin 3_,4_-disulfate",687.9237762,54426.76225,111413.9361,0,10674.28668,900.5218699,56894.30629,108927.8857,1166.789799,0
"6-Methoxyluteolin 3_,4_-disulfate",0,1398.747532,2541.102051,0,209.8637803,411.5474661,362.7958308,903.6803303,1596.575549,0
6-Methylthioguanosine monophosphate,0,0,0,0,0,0,0,0,0,0
6-Thioguanosine-5_- O- triphosphate,890.9796736,2127.150499,1840.44884,0,0,918.3380962,0,978.7343753,0,0
7-Geranylformononetin,0,0,0,0,0,79.21222888,0,0,0,0
7-O-Methylisolupalbigenin,0,0,0,0,0,88.32116057,0,0,0,0
7-O-Methyllicoricidin,0,0,0,316.661543,0,0,0,0,0,152.6499531
"7,8-Didehydroastaxanthin",323.4150391,0,130.4916178,0,0,736.6545024,0,93.82528184,0,0
8-Hydroxyluteolin 8-glucoside-3_-sulfate,0,0,0,0,0,0,0,0,2593.217617,0
8-Hydroxyluteolin 8-glucoside-3_-sulfate,0,775.2524442,0,0,0,0,0,0,0,0
"AC2SGL_16:0_34:0_2Me_S_,4Me_S_,6Me_S_,8Me_S_,10Me_R_,12Me_R_,14Me_R_,16Me_R_,17OH_",0,0,1012.80858,0,0,0,0,1086.552413,162.6363649,0
"AC2SGL_16:0_34:0_2Me_S_,4Me_S_,6Me_S_,8Me_S_,10Me_R_,12Me_R_,14Me_R_,16Me_R_,17OH_",0,495.2406179,0,0,0,0,348.546759,0,0,0
Acutifolactone,141447.9895,191.7532952,3389.111708,0,0,137089.0778,171.3822131,4227.25288,0,0
AHexCer _O-20:6_18:1_2O_18:5_O,0,0,0,0,0,0,0,0,0,0
AHexCer _O-24:4_17:1_2O_24:4_O,0,0,964.7789172,0,0,0,0,3661.265674,0,0
AHexCer _O-24:4_17:1_2O_24:4_O,0,116.047534,0,0,0,0,0,0,0,0
AHexCer _O-26:2_17:1_2O_26:1_O,313.8731333,0,4084.402412,0,0,0,0,3145.531361,0,0
AHexCer _O-26:2_17:1_2O_26:1_O,0,0,0,878.3050976,0,0,0,0,0,123.3459766
AHexCer _O-26:2_17:1_2O_26:1_O,175.9267146,0,0,0,0,638.4885126,0,0,0,0
AHexCer _O-26:2_17:1_2O_26:1_O,0,0,0,178.6465918,0,0,0,0,0,101.3329062
AHexCer _O-26:4_17:1_2O_30:6_O,0,0,0,0,0,0,0,218.9333959,0,0
AHexCer _O-26:4_17:1_2O_30:6_O,0,0,0,0,0,0,0,0,0,0
AHexCer _O-28:2_16:1_2O_30:2_O,0,0,0,63.6491162,0,0,0,0,0,0
AHexCer _O-28:2_16:1_2O_30:3_O,0,110.8967001,0,0,0,0,300.2865292,0,0,0
AHexCer _O-28:5_16:1_2O_26:3_O,0,0,6541.156738,0,155.8434137,0,0,3880.153209,0,0
AHexCer _O-28:5_18:1_2O_26:5_O,0,0,0,0,0,0,877.614635,0,0,0
AHexCer _O-28:6_17:1_2O_28:6_O,0,0,0,0,388.3178493,0,0,2168.165101,0,0
AHexCer _O-30:3_16:1_2O_28:4_O,0,0,0,0,0,0,0,0,0,0
AHexCer _O-30:3_17:1_2O_24:3_O,0,0,0,0,0,166.9297389,0,0,0,0
AHexCer _O-30:3_17:1_2O_26:5_O,0,99.91365509,0,0,0,0,0,0,0,0
ajugalactone,195.1107923,0,0,0,0,679.5280247,0,0,0,0
Alkalimonas delamerensis Lipid A Penta-acyl form,0,0,0,554.1375,0,0,0,0,0,0
Alvimopan,0,421.2736891,0,0,0,0,0,0,0,0
"Am-PE_18:0_20:4_5Z,8Z,11Z,14Z_",718.2651411,0,0,0,0,0,0,0,0,0
"Am-PE_P-16:0_20:4_5Z,8Z,11Z,14Z_",0,0,93.7791341,0,0,0,0,0,0,0
Angoluvarin,54810.46595,0,0,0,1538.042904,56853.98864,0,0,383.8264549,0
Anhydroicaritin 3-rhamnosyl-_1-_2_-rhamnoside,0,0,0,0,0,0,0,0,0,0
Apigenin 7-_3_-acetyl-6_-E-p-coumaroylglucoside_,0,0,0,0,23065.31372,0,0,0,20175.06442,0
