SampleID,DIL1,DIL2,DIL3,DIL4,DIL5,OA1,OA2,OA3,OA4,OA5
0610009B22Rik,0,8.033665491,0,11.54264679,6.309767418,0,21.57446848,8.606165263,0,0
0610010K14Rik,4.337524883,13.1676424,8.085326789,7.519417351,22.78997994,15.23274398,14.73957644,23.18477848,20.07104031,1.095435815
0610012G03Rik,2.722678947,87.13154969,46.07216603,34.02530415,41.04584878,9.355436339,19.85624147,25.5803531,8.862955382,34.42945167
0610030E20Rik,11.62443184,65.20155277,53.28122967,59.13147462,62.37438037,100.9879791,69.40067455,83.73678207,72.85148198,44.80024825
0610040J01Rik,0,32.46728657,0,7.380704071,14.87084454,5.868786779,21.77739094,48.27643253,27.17166113,20.22568294
1110002E22Rik,180.9515645,26.32785961,18.51429796,25.37984075,8.189044523,260.9932443,27.65795303,52.66654484,218.2562266,17.83353302
1110004F10Rik,43.92674349,60.66867584,10.34860459,58.36222327,55.43747255,7.999036495,20.4779892,85.2215953,28.61229927,11.83849146
1110017D15Rik,0,1.612998268,3.818258648,2.321799933,4.598768513,0,5.576834401,12.10029122,0,16.85740911
1110025L11Rik,0,0,0,2.923822305,9.431252647,30.04830613,1.603828225,16.272859,0,0
1110032A03Rik,20.15782857,36.68985476,52.9018965,11.59524322,10.16347292,11.60889635,40.05196053,4.625995341,3.971643858,76.53357651
1110032F04Rik,0,0.983363422,0,15.02622181,3.16213656,18.70874794,3.172055897,6.377553287,28.77961299,0
1110038F14Rik,34.43489663,43.08720052,20.08669063,27.44103682,13.18941012,23.65163332,13.94945409,27.31021711,29.56192568,3.655381738
1110051M20Rik,3.033766669,52.65237561,0,20.5849593,34.35883616,148.586068,32.77245611,121.1278865,25.79342171,26.96922794
1110057P08Rik,0,2.478535555,0,0,0,0,0,0,6.788993266,0
1110059E24Rik,41.93211455,12.52924635,0,48.59661803,23.35553308,6.588325413,29.1213765,42.46998736,24.47977274,11.25224552
1110059G10Rik,20.90778283,27.94585953,0,42.2578094,38.01254713,93.43066155,25.76854999,9.223824037,4.292991511,28.25024091
1110065P20Rik,0,34.07954742,0,5.672043656,21.42650207,0,13.70899954,1.972536032,0,0
1190005I06Rik,0,6.895467328,0,0,2.549241438,0,1.290572192,7.275140299,0,0
1190007I07Rik,31.66901475,14.58253635,43.15540911,0,24.69291179,5.522736313,28.07958328,19.09517259,0,14.6217234
1300017J02Rik,3.038009348,51.81624039,78.31374185,16.36249475,25.97203889,3.126269119,30.15863963,11.52272002,9.865263004,27.83705057
1500009C09Rik,16.20803262,16.32536149,0,0,6.303637889,9.279237527,4.823304602,7.550259748,65.04175655,12.44499575
1500009L16Rik,10.7467417,12.80916144,32.42699343,4.404698857,21.53502518,4.855619634,28.11177612,5.539979054,63.02563534,8.29355038
1500011B03Rik,328.3860757,233.9631927,819.9722144,302.0915734,373.17231,365.318733,252.2336673,276.1220132,205.3671425,663.2780819
1520401A03Rik,0,131.5577579,14.21373565,134.5992588,125.9898621,10.11571145,13.03516769,81.72318195,26.61664111,11.27087518
1600012H06Rik,0,24.3133977,17.24708461,30.13561173,24.09592024,62.26906423,56.23486186,10.7381956,44.62011672,6.673887915
