Omic,n_samples,signal_strength,N_pairs,OmicNetR_mean,mixOmics_mean,Mean_difference,Median_difference,SD_difference,SE_difference,CI_low,CI_high,Paired_t_p,Wilcoxon_p
Genes,30,0.5,100,0.0675,0.07150000000000001,-0.003999999999999999,0,0.06462010194790455,0.006462010194790454,-0.016822030169827466,0.008822030169827466,0.5373365616705559,0.6280961351809955
Genes,30,1,100,0.67,0.675,-0.0049999999999999845,0,0.05795330757244022,0.005795330757244022,-0.016499193528573722,0.006499193528573754,0.39035271668922167,0.6763752626624088
Genes,30,1.5,100,0.919,0.92,-9.999999999999955e-4,0,0.03480102169636852,0.003480102169636852,-0.007905277718246107,0.005905277718246116,0.774446564096111,0.8757498501469241
Genes,30,2,100,0.983,0.982,0.0010000000000000009,0,0.017378728435078393,0.0017378728435078392,-0.002448316755789943,0.004448316755789945,0.5663155080996352,0.6715664317280816
Genes,60,0.5,100,0.214,0.2255,-0.011499999999999991,0,0.09504252105284665,0.009504252105284664,-0.030358498139456715,0.007358498139456734,0.22916596832772784,0.33783289307044584
Genes,60,1,100,0.9415,0.9430000000000001,-0.0015000000000000046,0,0.01805574980470491,0.001805574980470491,-0.0050826524836098674,0.002082652483609858,0.408108120274832,0.2165511267725571
Genes,60,1.5,100,0.9985,0.998,5.000000000000004e-4,0,0.004999999999999994,4.999999999999994e-4,-4.921084757932069e-4,0.0014921084757932078,0.31974847413930074,1
Genes,60,2,100,1,0.999,9.999999999999992e-4,0,0.00999999999999998,9.999999999999979e-4,-9.842169515864138e-4,0.002984216951586412,0.31974847413930124,1
Genes,120,0.5,100,0.658,0.652,0.005999999999999992,0,0.07954415583355404,0.007954415583355403,-0.009783286240456962,0.021783286240456945,0.4524607535469637,0.787424370300903
Genes,120,1,100,0.999,0.999,0,0,0,0,0,0,NA,NA
Genes,120,1.5,100,1,1,0,0,0,0,0,0,NA,NA
Genes,120,2,100,1,1,0,0,0,0,0,0,NA,NA
Metabolites,30,0.5,100,0.21600000000000003,0.2165,-5.000000000000053e-4,0,0.10012492197250393,0.010012492197250393,-0.020366956745410968,0.01936695674541096,0.9602727142179805,0.7743542045273484
Metabolites,30,1,100,0.7845,0.7965,-0.012000000000000014,0,0.07075352009660438,0.007075352009660437,-0.026039033396009277,0.0020390333960092506,0.09302302062215824,0.07637904366723107
Metabolites,30,1.5,100,0.9580000000000001,0.9565,0.001499999999999996,0,0.055711649399276156,0.005571164939927616,-0.009554399913888303,0.012554399913888296,0.7883026469046012,0.35536649496389744
Metabolites,30,2,100,0.991,0.99,0.0010000000000000009,0,0.012268049987877047,0.0012268049987877046,-0.0014342472748855167,0.0034342472748855185,0.41695714950623286,0.27948536825112646
Metabolites,60,0.5,100,0.3765,0.373,0.003499999999999992,0,0.11726147076193665,0.011726147076193665,-0.019767219805378985,0.02676721980537897,0.7659637428515396,0.7744251144569784
Metabolites,60,1,100,0.975,0.974,0.0010000000000000009,0,0.021296369491895888,0.0021296369491895888,-0.003225661735306763,0.005225661735306765,0.6396994233271646,0.6836632365952577
Metabolites,60,1.5,100,1,1,0,0,0,0,0,0,NA,NA
Metabolites,60,2,100,1,1,0,0,0,0,0,0,NA,NA
Metabolites,120,0.5,100,0.784,0.7595000000000001,0.024499999999999997,0,0.07703305075804094,0.0077033050758040945,0.009214971485347822,0.039785028514652175,0.0019637652657876685,0.0013315506686188262
Metabolites,120,1,100,1,1,0,0,0,0,0,0,NA,NA
Metabolites,120,1.5,100,1,1,0,0,0,0,0,0,NA,NA
Metabolites,120,2,100,1,1,0,0,0,0,0,0,NA,NA
