n_samples,signal_strength,N_pairs,OmicNetR_mean,mixOmics_mean,Mean_difference,Median_difference,SD_difference,SE_difference,CI_low,CI_high,Paired_t_p,Wilcoxon_p
30,0.5,100,0.27775774292438005,0.26816018799312713,0.009597554931252921,0.012839572793083648,0.16208631275908017,0.016208631275908016,-0.022563886008417543,0.04175899587092339,0.5551160151204726,0.6144619544907347
30,1,100,0.7374909280432331,0.7683013614496823,-0.030810433406449168,-0.029386465138985685,0.09380768054211791,0.00938076805421179,-0.04942391239851654,-0.0121969544143818,0.0014135178672097693,4.857475240604137e-5
30,1.5,100,0.9004816410138827,0.9222285097777715,-0.021746868763888746,-0.021047071635609038,0.04841700440638652,0.004841700440638652,-0.031353852852707385,-0.012139884675070106,1.916861841866464e-5,4.1767129701507526e-13
30,2,100,0.9439392358058468,0.962286428018788,-0.018347192212941246,-0.013340581259914719,0.023527638081583167,0.0023527638081583166,-0.023015586044167993,-0.013678798381714501,6.478856637384538e-12,1.6405603505615973e-14
60,0.5,100,0.28438348280579007,0.2910102354991302,-0.006626752693340125,0.003229108078932577,0.13581331511604833,0.013581331511604833,-0.03357506090378122,0.020321555517100968,0.6266776007023729,0.8271691753933041
60,1,100,0.8776116860537508,0.8937015343747393,-0.016089848320988497,-0.0143323617777531,0.016985883434783907,0.0016985883434783907,-0.01946021610588541,-0.012719480536091583,1.5484895130291394e-15,1.2505862541714342e-13
60,1.5,100,0.9475479162822619,0.9549833725766393,-0.0074354562943774564,-0.006801150053354521,0.00811402644845321,8.11402644845321e-4,-0.009045455176841596,-0.005825457411913317,7.293555279256865e-15,3.678320978550648e-13
60,2,100,0.9671922668805055,0.9728866358705657,-0.005694368990060194,-0.005189147844971154,0.005463089520695236,5.463089520695236e-4,-0.0067783644735599545,-0.004610373506560434,1.3069199010259489e-17,2.0325247020495563e-14
120,0.5,100,0.5396632244280679,0.5606378711663278,-0.020974646738259918,-0.023713788615173814,0.06892045317942433,0.006892045317942433,-0.03464995988922309,-0.007299333587296742,0.002996654315401969,5.617212258035029e-6
120,1,100,0.8969174339136006,0.9045132936971055,-0.007595859783505047,-0.007025774844230004,0.00626364400660945,6.26364400660945e-4,-0.00883870264516676,-0.006353016921843334,2.7492061020131648e-21,3.422404885445391e-16
120,1.5,100,0.9502761658989111,0.9537859258099621,-0.0035097599110510596,-0.0030783158419990797,0.0034222187990764234,3.4222187990764233e-4,-0.0041888023663675744,-0.0028307174557345447,3.0285754717833373e-17,1.0956287512449326e-14
120,2,100,0.9705391266051954,0.9729367426524004,-0.00239761604720504,-0.002251876880727255,0.0021040188731462064,2.1040188731462063e-4,-0.0028150990386604856,-0.001980133055749595,1.0198142904983724e-19,1.4796303786423192e-15
