Method,Omic,n_samples,signal_strength,N_pairwise_comparisons,Mean_Jaccard,SD_Jaccard,Median_Jaccard,Q1,Q3
OmicNetR,Genes,60,0.5,4950,0.01626905134175985,0.02405253488634512,0,0,0.02564102564102564
OmicNetR,Genes,60,1,4950,0.2858286766714369,0.24434512792269386,0.25,0.05263157894736842,0.3333333333333333
OmicNetR,Genes,60,1.5,4950,0.4101958916792095,0.29420665021506814,0.2903225806451613,0.25,0.7391304347826086
OmicNetR,Metabolites,60,0.5,4950,0.07939938923197848,0.05513850424241201,0.08108108108108109,0.05263157894736842,0.1111111111111111
OmicNetR,Metabolites,60,1,4950,0.3200279246104522,0.25503570068798104,0.2903225806451613,0.1111111111111111,0.3333333333333333
OmicNetR,Metabolites,60,1.5,4950,0.470949300005796,0.3193680820947676,0.3333333333333333,0.3333333333333333,0.9047619047619048
mixOmics,Genes,60,0.5,4950,0.01682293714050916,0.030079010498591498,0,0,0.02564102564102564
mixOmics,Genes,60,1,4950,0.16008494771364007,0.1717154990599226,0.17647058823529413,0,0.25
mixOmics,Genes,60,1.5,4950,0.2567029247430501,0.21388483864436772,0.25,0.05263157894736842,0.2903225806451613
mixOmics,Metabolites,60,0.5,4950,0.07710102961164303,0.05380191691607422,0.08108108108108109,0.05263157894736842,0.1111111111111111
mixOmics,Metabolites,60,1,4950,0.22053398748990125,0.19235928319047704,0.25,0.05263157894736842,0.3333333333333333
mixOmics,Metabolites,60,1.5,4950,0.3346268039122983,0.2632525229769673,0.3333333333333333,0.1111111111111111,0.3793103448275862
